Postcode,Average net tax 1,Percentage of total Average Tax paid,Average Salary 1,Percentage of Total State Income,Average Net Tax ,Average Salary
3000,20458,0.220486776,46100,0.141389102,0.198663964,0.251956247
3002,44063,0.474890449,78594,0.241048483,0.535599075,0.707628664
3003,17485,0.188445169,56817,0.174258234,0.156227697,0.402243725
3004,36287,0.39108435,73999,0.226955578,0.424605327,0.643191698
3006,22507,0.242569942,64965,0.199248221,0.227911159,0.516505399
3008,22530,0.242817825,65288,0.200238865,0.228239459,0.521034918
3010,27860,0.300262077,99443,0.304992547,0.304319278,1
3011,12864,0.138642188,51863,0.159064273,0.090268064,0.332772402
3012,13052,0.140668364,54306,0.166556975,0.092951554,0.367031272
3013,18141,0.195515231,67399,0.20671332,0.165591367,0.550638059
3015,18748,0.202057194,69510,0.213187776,0.174255617,0.5802412
3016,26502,0.285626187,72497,0.222348931,0.284935339,0.622128734
3018,15550,0.167590643,60152,0.184486708,0.128607725,0.449011359
3019,9041,0.097439678,43286,0.132758539,0.035698992,0.212494741
3020,9338,0.100640606,44577,0.136718047,0.039938337,0.230598794
3021,8679,0.093538211,42816,0.131317045,0.030531845,0.2059038
3022,9581,0.103259546,47364,0.145265801,0.043406891,0.269681672
3023,11775,0.126905454,52699,0.161628292,0.0747238,0.344495863
3024,11129,0.119943168,52221,0.160162262,0.065502869,0.337792736
3025,12679,0.136648345,55345,0.169743597,0.087627394,0.381601458
3026,16984,0.183045625,58642,0.179855525,0.149076479,0.427836208
3027,14214,0.153191858,60114,0.184370162,0.109537812,0.448478474
3028,11315,0.121947789,51376,0.15757064,0.068157812,0.325943065
3029,11311,0.121904679,51648,0.158404866,0.068100717,0.329757397
3030,13818,0.148923955,57230,0.175524909,0.103885352,0.408035339
3031,17139,0.184716143,62341,0.19120039,0.151288932,0.479708316
3032,17989,0.193877046,60897,0.18677163,0.163421736,0.459458701
3033,14490,0.156166457,56101,0.172062256,0.113477404,0.392203057
3034,14326,0.154398942,54162,0.166115326,0.111136487,0.36501192
3036,18716,0.201712313,58101,0.178196273,0.173798852,0.420249614
3037,11868,0.127907765,52856,0.162109812,0.076051272,0.346697518
3038,12862,0.138620633,52911,0.162278498,0.090239516,0.347468798
3039,21119,0.227610725,67164,0.205992573,0.208099004,0.547342589
3040,22210,0.239369014,64905,0.1990642,0.223671815,0.515664002
3041,19050,0.205312009,62468,0.1915899,0.178566331,0.481489272
3042,14090,0.151855444,57661,0.176846789,0.107767849,0.414079372
3043,11946,0.128748413,52449,0.16086154,0.077164635,0.340990043
3044,14606,0.157416651,57672,0.176880526,0.115133175,0.414233628
3046,11401,0.122874657,50550,0.15503729,0.069385366,0.314359837
3047,7823,0.084312643,41449,0.127124444,0.018313397,0.186733978
3048,7806,0.084129425,41250,0.126514109,0.018070741,0.183943346
3049,12209,0.131582904,52873,0.162161952,0.080918667,0.346935914
3051,17434,0.187895515,54613,0.167498547,0.155499729,0.371336418
3052,21095,0.227352065,56061,0.171939575,0.20775643,0.391642126
3053,18408,0.198392833,50254,0.154129456,0.169402495,0.310208947
3054,24618,0.265321314,63655,0.19523044,0.258043336,0.498134904
3055,14866,0.16021881,55541,0.170344731,0.118844386,0.384350021
3056,14870,0.16026192,55835,0.171246431,0.118901482,0.388472865
3057,15206,0.163883171,57065,0.175018852,0.123697508,0.405721498
3058,13637,0.146973221,54493,0.167130506,0.101301779,0.369653625
3059,15102,0.162762308,54475,0.1670753,0.122213023,0.369401206
3060,10524,0.11342276,47095,0.144440775,0.056867167,0.26590941
3061,11539,0.124361957,43170,0.132402766,0.071355163,0.210868041
3062,23184,0.249866332,52738,0.161747905,0.237574581,0.345042771
3063,16698,0.179963251,61406,0.188332737,0.144994148,0.46659655
3064,10419,0.112291119,49203,0.15090603,0.055368409,0.295470481
3065,21996,0.237062622,63186,0.193792012,0.220617203,0.491557986
3066,17676,0.190503678,57849,0.177423387,0.15895401,0.416715748
3067,17889,0.192799293,59692,0.183075884,0.161994348,0.442560651
3068,23594,0.25428512,67653,0.20749234,0.243426875,0.554199972
3070,18602,0.200483674,62887,0.192874977,0.172171629,0.487365026
3071,15282,0.164702264,56492,0.173261456,0.124782323,0.397686159
3072,12879,0.138803851,52329,0.160493499,0.090482172,0.33930725
3073,11112,0.11975995,48494,0.14873152,0.065260213,0.285527976
3074,9304,0.10027417,44064,0.135144672,0.039453025,0.223404852
3075,9316,0.1004035,45532,0.139647041,0.039624311,0.243991025
3076,10217,0.110114058,48190,0.14779915,0.052485084,0.2812649
3078,21793,0.234874783,65050,0.199508917,0.217719604,0.517697378
3079,28293,0.304928749,70829,0.21723316,0.310499872,0.598737905
3081,11170,0.120385047,49212,0.150933633,0.066088098,0.295596691
3082,11052,0.119113298,49780,0.152675694,0.06440378,0.303561913
3083,12188,0.131356576,49287,0.151163658,0.080618916,0.296648436
3084,20203,0.217738505,63691,0.195340852,0.195024123,0.498639742
3085,16069,0.173184182,60555,0.185722713,0.136015873,0.45466274
3087,13256,0.142866981,56350,0.172825941,0.095863427,0.395694853
3088,14492,0.156188012,57597,0.176650501,0.113505952,0.413181882
3089,15646,0.168625286,58492,0.179395474,0.129978018,0.425732716
3090,25220,0.271809389,65915,0.202161879,0.266636216,0.529827514
3091,28087,0.302708577,56067,0.171957977,0.307559451,0.391726266
3093,25573,0.275613859,64124,0.196668867,0.271674898,0.504711822
3094,14650,0.157890863,58089,0.178159469,0.115761226,0.420081335
3095,18927,0.203986372,62009,0.190182143,0.176810643,0.475052587
3096,15462,0.16664222,51993,0.159462984,0.127351623,0.334595428
3097,23688,0.255298208,65162,0.199852422,0.24476862,0.519267985
3099,15982,0.172246537,53876,0.165238161,0.134774044,0.361001262
3101,40110,0.43228686,75920,0.232847301,0.479174398,0.670130416
3102,26556,0.286208174,71402,0.218990556,0.285706129,0.606773244
3103,33969,0.366102028,70912,0.217487722,0.391518456,0.599901837
3104,24878,0.268123473,65778,0.201741699,0.261754546,0.527906324
3105,17950,0.193456722,59447,0.182324467,0.162865055,0.439124947
3106,25025,0.26970777,62148,0.190608457,0.263852808,0.477001823
3107,17350,0.186990202,58869,0.180551736,0.154300722,0.431019492
3108,16127,0.173809279,53870,0.165219759,0.136843758,0.360917122
3109,15835,0.17066224,56006,0.17177089,0.132675783,0.390870846
3111,22044,0.237579944,61948,0.189995056,0.221302349,0.474197167
